,,,,false,true,2019-08-14T03:16:58Z
,,,,false,true,2019-08-14T03:17:03Z
,,,,false,true,2019-08-14T03:22:43Z
,,,,false,true,2019-08-14T03:43:49Z
,,,,false,true,2019-08-14T06:49:10Z
,,,,false,true,2019-08-14T12:41:26Z
,,,,false,true,2019-08-14T12:42:24Z
,,,,false,true,2019-08-14T12:51:37Z
,,,,false,true,2019-08-14T14:54:37Z
,,,,false,true,2019-08-14T15:02:25Z
,,,,false,true,2019-08-14T18:43:10Z
,,,,false,true,2019-08-14T18:47:46Z
,,,,false,true,2019-08-14T18:48:02Z
,,,,false,true,2019-08-14T18:48:59Z
,,,,false,true,2019-08-14T18:49:44Z
,,,,false,true,2019-08-14T18:52:05Z
,,,,false,true,2019-08-14T18:52:06Z
,,,,false,true,2019-08-14T18:52:54Z
,,,,false,true,2019-08-14T18:57:19Z
,,,,false,true,2019-08-14T18:57:34Z
,,,,false,true,2019-08-14T19:00:36Z
,,,,false,true,2019-08-14T19:26:26Z
,,,,false,true,2019-08-14T19:26:30Z
,,,,false,true,2019-08-14T19:34:55Z
,,,,false,true,2019-08-14T19:37:01Z
,,,,false,true,2019-08-14T19:41:28Z
,,,,false,true,2019-08-14T19:45:52Z
,,,,false,true,2019-08-14T19:53:13Z
,,,,false,true,2019-08-14T19:56:05Z
,,,,false,true,2019-08-14T19:57:09Z
,,,,false,true,2019-08-14T20:01:21Z
,,,,false,true,2019-08-14T20:44:45Z
,,,,false,true,2019-08-14T20:45:07Z
,,,,false,true,2019-08-14T20:50:08Z
,,,,false,true,2019-08-14T20:51:47Z
,,,,false,true,2019-08-14T20:56:17Z
